Type ouvrage;Code ligne 1;Nom ligne 1;Propriétaire ligne 1;Etat;TENSION;Source donnée;Geo Shape;Nombre circuit;Code ligne 2;Nom ligne 2;Propriétaire ligne 2;Code ligne 3;Nom ligne 3;Propriétaire ligne 3;Code ligne 4;Nom ligne 4;Propriétaire ligne 4;Code ligne 5;Nom ligne 5;Proprietaire ligne 5;geo_point_2d
AERIEN;GRAY L31ZFONT;LIAISON 63kV N0 1 GRAY - MARCILLY - VINGEANNE;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;63kV;RTE;"{""coordinates"": [[5.5928384835, 47.4545831821], [5.592968054, 47.4543946278], [5.5947386979, 47.4536373301], [5.5974628114, 47.4546348759], [5.6004393145, 47.4565354122], [5.6031854168, 47.4582816668], [5.6053835345, 47.4598429252], [5.6033072016, 47.461305181], [5.6011705434, 47.4636046253], [5.5981454018, 47.4668668276], [5.5961924405, 47.4689666188], [5.5930970099, 47.4722986964], [5.5910970246, 47.4744219437], [5.5891576177, 47.477141846], [5.587820247, 47.479017944], [5.585795867, 47.4818567402], [5.5835964956, 47.4849524619], [5.5816407138, 47.4876797762], [5.5799392245, 47.4900627048], [5.5784867116, 47.4920979001], [5.5736316639, 47.4930203645], [5.5693403739, 47.4938410208], [5.5645665968, 47.494746067], [5.560256433, 47.4955686142], [5.5552256117, 47.4965220929], [5.5500088742, 47.4975100275], [5.5454308232, 47.4983820152], [5.5421114315, 47.4983608511], [5.5377962191, 47.4983315298], [5.5345127597, 47.4983111363], [5.5295832078, 47.4982751356], [5.5269205512, 47.4982599358], [5.5205077849, 47.4982169993], [5.5150507739, 47.4981827106], [5.5102341951, 47.4981443224], [5.5061594343, 47.4981113841], [5.5020520229, 47.4980898174], [5.4970870238, 47.4980585503], [5.4919873599, 47.4980183252], [5.486128838, 47.4979777892], [5.4817684943, 47.4979455636], [5.4773273647, 47.4979194132], [5.4734601473, 47.4978899877], [5.4684258605, 47.4978553303], [5.4637027599, 47.4978220521], [5.4589209745, 47.4977844017], [5.4544917847, 47.4977589468], [5.4503545954, 47.4977226899], [5.445682433, 47.4976871311], [5.4414848974, 47.4976609973], [5.4370595904, 47.4976237008], [5.4328351738, 47.4975916724], [5.4284113194, 47.4981049097], [5.4230992532, 47.4987181397], [5.4173620403, 47.4993775263], [5.412097466, 47.4999889833], [5.4081538535, 47.500451789], [5.4044137298, 47.500873969], [5.3994504048, 47.5014390639], [5.394721087, 47.5020103666], [5.3915234191, 47.502375503], [5.3864490675, 47.5032336983], [5.3816030351, 47.5040451648], [5.3772492456, 47.5047787079], [5.3727942771, 47.5055336373], [5.3696766504, 47.5060525989]], ""type"": ""LineString""}";1;;;;;;;;;;;;;47.49261202477916, 5.499454720510266
AERIEN;MIRAML31MIRA5;RES. LIAISON 63kV N0 1  MIRAMAS - MIRAMAS (COGEMA A MIRAMAS);MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;HORS TENSION;RTE;"{""coordinates"": [[5.0132213787, 43.5789987188], [5.0130750878, 43.5785041921], [5.0105901738, 43.5763784441], [5.0081917155, 43.5743464618], [5.0067678411, 43.5731379365], [5.0054679885, 43.5720359553], [5.0017007438, 43.5713539096], [4.9990452669, 43.5708844609], [4.9980576972, 43.5723858474], [4.9945362355, 43.5742128686], [4.9912056813, 43.5759445273], [4.9891112832, 43.5770259729], [4.9862232303, 43.5781382542]], ""type"": ""LineString""}";1;;;;;;;;;;;;;43.57438966282312, 5.000271844060751
AERIEN;BRET5L31ZGANN;LIAISON 63kV N0 1 BRETEUIL-GANNES(S.N.C.F.)-VALESCOURT;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;63kV;RTE;"{""coordinates"": [[2.3120811913, 49.6261435786], [2.3165238131, 49.6250100703], [2.3211528901, 49.6238279225], [2.3254056991, 49.6227416616], [2.3294689258, 49.6217037376], [2.3329969835, 49.6208030748], [2.3371939916, 49.6197307647], [2.3396698123, 49.6190984456], [2.3441291741, 49.6179585269], [2.3481399426, 49.6169335342], [2.3528479039, 49.6158894549], [2.3560300895, 49.6152439488], [2.3597494233, 49.6144879636], [2.3639418716, 49.6136390692], [2.3673190359, 49.6129154415], [2.3705225386, 49.6122499654], [2.374848103, 49.6113505397], [2.3799242951, 49.6107874852], [2.3868807656, 49.6099493373], [2.3898204006, 49.6098204483], [2.3932977008, 49.6093503066], [2.3989592353, 49.6085733211], [2.4016719269, 49.6083123249], [2.4048282, 49.6080285625], [2.4111655048, 49.6074535906], [2.4170518104, 49.6066774081], [2.4212702187, 49.6061212667], [2.425840596, 49.605503353], [2.429869768, 49.6049724897]], ""type"": ""LineString""}";2;BRET5L32ZHERE;LIAISON 63kV N0 2 BRETEUIL - HARGICOURT - VALESCOURT;MAINTENU PAR ET PROPRIETE RTE;;;;;;;;;;49.613723842199875, 2.3706406511028413
AERIEN;RIOM L31VOLVI;LIAISON 63kV N0 1 RIOM-VOLVIC;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;63kV;RTE;"{""coordinates"": [[3.1228486356, 45.8837232437], [3.1226746054, 45.8837513606]], ""type"": ""LineString""}";1;;;;;;;;;;;;;45.88373730215, 3.1227616205000004
AERIEN;MARMAL41SSPUY;LIAISON 90kV N0 1 MARMAGNE-ST-GERMAIN-DU-PUY;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;90kV;RTE;"{""coordinates"": [[2.3810062387, 47.1317179213], [2.3839278496, 47.1304955749]], ""type"": ""LineString""}";1;;;;;;;;;;;;;47.1311067481, 2.38246704415
AERIEN;MORLAL31P.CHR;LIAISON 63kV N0 1 MORLAIX-PLEYBER CHRIST;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;63kV;RTE;"{""coordinates"": [[-3.8422470537, 48.588866242], [-3.8414036012, 48.5890665718]], ""type"": ""LineString""}";1;;;;;;;;;;;;;48.5889664069, -3.84182532745
AERIEN;AIRVAL42MIREB;LIAISON 90kV N0 2 AIRVAULT-MIREBEAU;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;90kV;RTE;"{""coordinates"": [[0.0752322844, 46.7726751573], [0.0798639216, 46.7730957084], [0.0835939971, 46.7731355091], [0.0864067524, 46.7731645216], [0.0893217859, 46.7731943052], [0.0923520166, 46.7732260044], [0.0955881502, 46.7732583289], [0.0989015926, 46.7732933346], [0.102323616, 46.7733319953], [0.1052332721, 46.7733620889], [0.1087170568, 46.7733993375], [0.1117090104, 46.7734350098], [0.1153340245, 46.773478315], [0.1185493305, 46.7735076178], [0.1221853234, 46.773542008], [0.1252312477, 46.7735777419], [0.1282821538, 46.7735909902], [0.131319256, 46.773640702], [0.1353949714, 46.773691973], [0.138660341, 46.7737175335], [0.1414609229, 46.7737529785], [0.144442874, 46.773780312], [0.1472023025, 46.7738001567], [0.1501162066, 46.7738256791], [0.1532473399, 46.7738600454], [0.1568662905, 46.7738947178], [0.1598695475, 46.7740401361], [0.1628924707, 46.7741887281], [0.1658812527, 46.7743364124], [0.1691812528, 46.774501529], [0.1720536322, 46.7746453141], [0.1746433424, 46.7747756724], [0.1776952819, 46.7749210016], [0.1808079786, 46.7757397823], [0.1837942447, 46.776518476], [0.187262808, 46.7774323358], [0.1876149837, 46.7775202254]], ""type"": ""LineString""}";1;;;;;;;;;;;;;46.77389091628297, 0.13157416650953385
AERIEN;CHERBL41TOLLE;LIAISON 90kV N0 1 CHERBOURG-TOLLEVAST;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;90kV;RTE;"{""coordinates"": [[-1.6252637329, 49.6331390188], [-1.6250194826, 49.6333079848]], ""type"": ""LineString""}";1;;;;;;;;;;;;;49.6332235018, -1.6251416077499998
AERIEN;BLANZL31H.PAU;LIAISON 63kV N0 1 BLANZY-HENRI-PAUL;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;63kV;RTE;"{""coordinates"": [[4.407454227, 46.7086953484], [4.407417091, 46.7088291274], [4.408518374, 46.7105581715], [4.4102761864, 46.7137137201], [4.4113581022, 46.7156456748], [4.4126042557, 46.7178997062], [4.4120535376, 46.7198813699], [4.4153129291, 46.7201411741], [4.4187089277, 46.7204187526], [4.4215112499, 46.7206470539], [4.4241191358, 46.7208601285], [4.4267998026, 46.7210762137], [4.4294065886, 46.7212900883], [4.4315367477, 46.7214709287], [4.4337885308, 46.7216479018], [4.4362589624, 46.7218486434], [4.4394302079, 46.7221079633], [4.4429657199, 46.7223968224], [4.4466230235, 46.7226867447], [4.4497149548, 46.7229349855], [4.4535338253, 46.7236323642], [4.4559059322, 46.7240607867], [4.4587296265, 46.7245733883], [4.4608861708, 46.7249653577], [4.4636460956, 46.7254649668], [4.4661582739, 46.7259204819], [4.4684919073, 46.7263433627], [4.4705461327, 46.7267253452], [4.474162495, 46.7273678658], [4.4766448051, 46.7278212801], [4.4793114611, 46.7283075317], [4.4821437584, 46.7288177101], [4.4839842722, 46.7293613052], [4.4853829794, 46.7305970804], [4.4867686382, 46.7320177673], [4.4881595542, 46.7334411292], [4.4896148285, 46.7349350836], [4.4909252801, 46.7362758795], [4.4924082467, 46.7377930321], [4.4938661254, 46.7392862536], [4.4952115366, 46.7406648096], [4.496735936, 46.7422271685], [4.4983773006, 46.7439067756], [4.500451797, 46.7460225806], [4.5010063664, 46.74655433]], ""type"": ""LineString""}";1;;;;;;;;;;;;;46.72570501400863, 4.45360136672574
AERIEN;CZTRYL61PLISO;LIAISON 225kV N0 1 COURTRY-PLISON;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;225kV;RTE;"{""coordinates"": [[2.7680252873, 48.5474481197], [2.7662986209, 48.5506219365]], ""type"": ""LineString""}";1;;;;;;;;;;;;;48.5490350281, 2.7671619540999997
